"","id","choice","composition","correct","kernels","comp1","comp2"
"1",105,"*","*",1,"lp","l","p"
"2",105,"*","*",1,"lp","l","p"
"3",105,"*","+",0,"lp","l","p"
"4",105,"*","+",0,"lp","l","p"
"5",105,"+","+",1,"lp","l","p"
"6",105,"*","+",0,"lp","l","p"
"7",105,"*","*",1,"lp","p","l"
"8",105,"+","+",1,"lp","p","l"
"9",105,"+","+",1,"lp","p","l"
"10",105,"*","*",1,"lp","l","p"
"11",106,"*","*",1,"ps","p","s"
"12",106,"*","+",0,"ls","s","l"
"13",106,"*","*",1,"lp","l","p"
"14",106,"+","*",0,"lp","p","l"
"15",106,"4","*",0,"ps","s","p"
"16",106,"+","*",0,"ps","s","p"
"17",106,"4","*",0,"ps","s","p"
"18",106,"+","+",1,"ls","l","s"
"19",106,"+","+",1,"ls","s","l"
"20",106,"+","*",0,"ls","l","s"
"21",107,"3","+",0,"lp","p","l"
"22",107,"5","+",0,"lp","l","p"
"23",107,"5","+",0,"ps","s","p"
"24",107,"7","+",0,"ls","s","l"
"25",107,"+","*",0,"lp","p","l"
"26",107,"+","+",1,"lp","l","p"
"27",107,"5","*",0,"lp","l","p"
"28",107,"3","*",0,"ls","s","l"
"29",107,"*","*",1,"ls","l","s"
"30",107,"+","+",1,"ls","s","l"
"31",108,"2","*",0,"ls","s","l"
"32",108,"7","*",0,"ls","s","l"
"33",108,"4","*",0,"lp","p","l"
"34",108,"*","*",1,"ps","s","p"
"35",108,"*","+",0,"lp","p","l"
"36",108,"*","+",0,"ps","p","s"
"37",108,"*","*",1,"ps","p","s"
"38",108,"2","+",0,"ps","s","p"
"39",108,"5","*",0,"lp","p","l"
"40",108,"+","+",1,"ps","p","s"
"41",109,"*","+",0,"lp","p","l"
"42",109,"+","+",1,"ps","p","s"
"43",109,"*","*",1,"ls","l","s"
"44",109,"*","*",1,"ls","s","l"
"45",109,"*","+",0,"ls","l","s"
"46",109,"*","*",1,"ps","p","s"
"47",109,"+","+",1,"ps","s","p"
"48",109,"*","*",1,"ls","l","s"
"49",109,"*","*",1,"ps","p","s"
"50",109,"+","+",1,"ps","p","s"
"51",110,"*","*",1,"ps","p","s"
"52",110,"*","*",1,"ls","l","s"
"53",110,"*","*",1,"ls","s","l"
"54",110,"*","*",1,"lp","l","p"
"55",110,"*","+",0,"ls","l","s"
"56",110,"6","*",0,"lp","p","l"
