id,choice,composition,correct,kernels,comp1,comp2
1,5,*,0,lp,l,p
1,*,+,0,ls,s,l
1,*,+,0,ls,s,l
1,*,*,1,ps,p,s
1,2,+,0,ls,s,l
1,2,*,0,lp,p,l
1,*,+,0,ls,s,l
1,2,+,0,ls,s,l
1,*,+,0,lp,l,p
1,*,+,0,ps,s,p
2,+,+,1,ps,s,p
2,+,+,1,lp,l,p
2,8,+,0,lp,l,p
2,*,+,0,lp,l,p
2,8,*,0,lp,p,l
2,3,*,0,lp,p,l
2,*,*,1,ls,l,s
2,*,*,1,ps,s,p
2,+,*,0,ps,p,s
2,*,+,0,ps,p,s
3,+,+,1,lp,l,p
3,+,*,0,ps,p,s
3,4,*,0,ps,p,s
3,+,*,0,ps,s,p
3,*,*,1,ls,s,l
3,*,+,0,ls,s,l
3,+,*,0,ps,p,s
3,*,+,0,ls,s,l
3,+,*,0,ps,s,p
3,+,*,0,ls,l,s
4,4,+,0,ls,s,l
4,*,+,0,ps,s,p
4,+,+,1,ps,s,p
4,+,*,0,lp,l,p
4,+,+,1,ls,s,l
4,1,+,0,ls,s,l
4,*,+,0,ps,p,s
4,4,*,0,ls,s,l
4,4,*,0,ps,s,p
4,*,+,0,ls,l,s
5,6,*,0,ps,p,s
5,+,+,1,ps,s,p
5,*,*,1,ps,s,p
5,6,*,0,lp,l,p
5,6,+,0,ls,s,l
5,+,*,0,ls,s,l
5,6,+,0,lp,p,l
5,6,*,0,ls,s,l
5,6,*,0,lp,p,l
5,+,*,0,lp,l,p
6,+,+,1,lp,l,p
6,+,*,0,ls,s,l
6,4,+,0,lp,p,l
6,+,+,1,ps,s,p
6,*,+,0,ps,p,s
6,4,*,0,lp,p,l
6,4,*,0,ps,p,s
6,*,+,0,ps,s,p
6,*,+,0,lp,p,l
6,+,*,0,ls,s,l
7,1,+,0,ls,s,l
7,3,*,0,ls,s,l
7,+,+,1,ls,l,s
7,*,+,0,lp,l,p
7,1,*,0,ps,s,p
7,1,+,0,ps,p,s
7,+,*,0,lp,l,p
7,+,*,0,ps,p,s
7,3,*,0,ls,l,s
7,*,+,0,ls,l,s
8,*,+,0,lp,l,p
8,1,+,0,ps,p,s
8,+,+,1,ps,p,s
8,7,+,0,lp,p,l
8,*,+,0,lp,p,l
8,1,*,0,ps,s,p
8,+,*,0,lp,p,l
8,+,*,0,ps,p,s
8,+,*,0,lp,l,p
8,*,+,0,lp,p,l
9,+,*,0,ps,p,s
9,+,+,1,ps,p,s
9,8,*,0,lp,l,p
9,+,*,0,ls,l,s
9,*,+,0,ls,l,s
9,+,+,1,ls,s,l
9,+,*,0,ls,s,l
9,+,*,0,lp,p,l
9,+,+,1,ps,s,p
9,+,+,1,ls,l,s
10,4,+,0,lp,l,p
10,6,+,0,ls,s,l
10,*,*,1,lp,p,l
10,*,*,1,lp,p,l
10,+,*,0,ps,p,s
10,+,+,1,lp,p,l
10,+,*,0,ps,p,s
10,+,*,0,ls,s,l
10,4,*,0,ls,l,s
10,*,*,1,lp,l,p
11,*,*,1,ps,p,s
11,*,*,1,ps,s,p
11,*,*,1,ls,l,s
11,1,*,0,ps,p,s
11,*,+,0,ps,s,p
11,*,*,1,ls,l,s
11,1,*,0,ps,p,s
11,1,*,0,ps,p,s
11,1,*,0,lp,p,l
11,+,+,1,lp,l,p
12,+,+,1,lp,l,p
12,+,*,0,ps,s,p
12,+,+,1,ps,s,p
12,+,+,1,ps,s,p
12,+,+,1,ls,l,s
12,3,*,0,ls,s,l
12,3,*,0,ls,s,l
12,+,+,1,ps,s,p
12,3,*,0,lp,p,l
12,+,*,0,ls,l,s
13,+,+,1,ls,l,s
13,7,+,0,ls,l,s
13,9,*,0,ls,s,l
13,7,*,0,lp,l,p
13,+,+,1,lp,p,l
13,+,*,0,lp,p,l
13,7,*,0,ls,l,s
13,9,*,0,ps,p,s
13,9,*,0,ls,s,l
13,+,*,0,ls,s,l
14,+,*,0,ps,p,s
14,*,*,1,ls,s,l
14,*,*,1,ps,p,s
14,*,*,1,ls,s,l
14,+,+,1,ps,p,s
14,*,+,0,ps,s,p
14,*,*,1,ls,l,s
14,*,*,1,lp,p,l
14,*,*,1,ls,l,s
14,9,*,0,ps,p,s
15,+,*,0,ls,s,l
15,+,+,1,lp,l,p
15,*,*,1,ls,s,l
15,*,+,0,ps,s,p
15,*,*,1,lp,l,p
15,*,+,0,ps,s,p
15,5,+,0,ls,s,l
15,*,*,1,ps,p,s
15,+,*,0,ps,s,p
15,*,*,1,ls,s,l
16,8,*,0,lp,p,l
16,+,*,0,ls,l,s
16,8,+,0,lp,l,p
16,6,*,0,ls,s,l
16,6,*,0,lp,p,l
16,+,*,0,ps,p,s
16,6,*,0,ps,p,s
16,+,+,1,ls,l,s
16,+,+,1,ls,l,s
16,+,+,1,ls,l,s
17,9,*,0,ls,l,s
17,9,+,0,ls,l,s
17,7,+,0,ps,s,p
17,*,*,1,ls,s,l
17,+,*,0,lp,p,l
17,7,+,0,ps,s,p
17,+,+,1,ps,p,s
17,+,*,0,ls,s,l
17,+,*,0,ps,p,s
17,*,*,1,ps,s,p
18,+,*,0,lp,l,p
18,5,*,0,ps,p,s
18,+,+,1,lp,l,p
18,4,+,0,lp,p,l
18,+,*,0,ls,s,l
18,5,*,0,ps,s,p
18,5,*,0,ps,s,p
18,5,*,0,ls,s,l
18,+,+,1,lp,l,p
18,*,*,1,ps,s,p
19,*,*,1,ps,p,s
19,+,+,1,ps,p,s
19,*,*,1,ps,p,s
19,+,+,1,ps,p,s
19,1,+,0,ps,p,s
19,*,+,0,ls,s,l
19,4,*,0,lp,p,l
19,*,+,0,ls,l,s
19,1,+,0,ps,s,p
19,4,*,0,ls,s,l
20,*,*,1,ls,l,s
20,+,*,0,lp,l,p
20,*,+,0,ps,p,s
20,+,+,1,lp,p,l
20,*,*,1,ls,l,s
20,+,*,0,ps,s,p
20,*,+,0,ls,s,l
20,*,*,1,ls,l,s
20,*,*,1,ls,l,s
20,*,+,0,ps,p,s
21,*,*,1,ps,p,s
21,+,+,1,ls,s,l
21,*,+,0,lp,p,l
21,*,+,0,lp,l,p
21,*,*,1,ps,s,p
21,6,*,0,ps,p,s
21,*,*,1,ps,s,p
21,+,*,0,lp,l,p
21,3,+,0,ls,l,s
21,*,+,0,lp,l,p
22,*,*,1,ls,l,s
22,*,+,0,lp,p,l
22,+,*,0,ls,l,s
22,*,+,0,ls,s,l
22,4,+,0,ls,s,l
22,4,+,0,ps,s,p
22,4,+,0,ps,p,s
22,+,+,1,lp,l,p
22,+,*,0,lp,p,l
22,+,*,0,ps,s,p
23,*,*,1,lp,p,l
23,9,*,0,ls,l,s
23,7,*,0,ps,s,p
23,*,+,0,lp,p,l
23,*,*,1,lp,l,p
23,+,+,1,ls,l,s
23,7,*,0,lp,p,l
23,+,+,1,ps,p,s
23,9,*,0,ls,s,l
23,7,*,0,lp,p,l
24,4,+,0,lp,p,l
24,+,+,1,lp,l,p
24,2,*,0,ps,s,p
24,4,*,0,lp,p,l
24,+,+,1,lp,l,p
24,2,+,0,ps,s,p
24,+,+,1,lp,p,l
24,+,*,0,ls,l,s
24,*,+,0,lp,p,l
24,+,*,0,ls,s,l
25,+,+,1,lp,l,p
25,3,+,0,lp,p,l
25,+,+,1,ps,s,p
25,+,*,0,ps,p,s
25,*,*,1,ps,p,s
25,9,*,0,ls,s,l
25,+,+,1,ls,s,l
25,+,*,0,ls,s,l
25,+,+,1,ls,l,s
25,+,+,1,lp,l,p
26,*,+,0,ls,s,l
26,+,*,0,ps,p,s
26,*,*,1,lp,l,p
26,+,+,1,lp,p,l
26,+,+,1,ls,l,s
26,9,+,0,lp,p,l
26,4,*,0,lp,p,l
26,+,+,1,ps,s,p
26,9,*,0,lp,l,p
26,9,*,0,ls,l,s
27,4,+,0,ps,p,s
27,4,+,0,lp,p,l
27,*,*,1,lp,l,p
27,4,*,0,ps,s,p
27,4,+,0,ls,s,l
27,4,+,0,lp,p,l
27,4,*,0,ps,p,s
27,4,+,0,lp,l,p
27,4,*,0,ps,p,s
27,4,*,0,ps,s,p
28,*,*,1,ps,s,p
28,2,*,0,ps,p,s
28,2,*,0,ps,p,s
28,+,*,0,ps,s,p
28,2,+,0,ps,p,s
28,2,*,0,ps,p,s
28,2,*,0,ps,s,p
28,+,*,0,ls,s,l
28,+,*,0,lp,p,l
28,2,+,0,ps,p,s
29,+,+,1,lp,p,l
29,*,*,1,lp,l,p
29,+,+,1,ls,l,s
29,+,*,0,ps,s,p
29,*,*,1,lp,l,p
29,*,*,1,ls,l,s
29,*,*,1,ls,l,s
29,+,+,1,ls,s,l
29,*,*,1,lp,p,l
29,*,*,1,lp,p,l
30,7,*,0,ls,l,s
30,7,+,0,ls,l,s
30,+,*,0,lp,l,p
30,*,*,1,ls,l,s
30,*,+,0,ls,l,s
30,1,+,0,ps,p,s
30,7,*,0,ls,s,l
30,+,*,0,lp,l,p
30,*,+,0,lp,l,p
30,+,+,1,lp,l,p
31,6,+,0,ps,p,s
31,*,*,1,ps,s,p
31,5,+,0,lp,l,p
31,5,+,0,ls,l,s
31,*,*,1,lp,p,l
31,*,+,0,lp,p,l
31,6,+,0,ps,p,s
31,*,*,1,ps,s,p
31,5,+,0,ls,l,s
31,*,+,0,lp,p,l
32,*,+,0,ps,s,p
32,4,*,0,lp,l,p
32,+,+,1,ls,s,l
32,9,+,0,ls,l,s
32,9,*,0,ls,l,s
32,*,*,1,lp,p,l
32,+,+,1,lp,l,p
32,4,+,0,lp,l,p
32,+,*,0,ps,p,s
32,9,+,0,lp,l,p
33,*,+,0,lp,p,l
33,+,+,1,ls,l,s
33,7,*,0,ps,p,s
33,3,*,0,lp,l,p
33,7,*,0,ls,s,l
33,*,+,0,ls,l,s
33,*,+,0,ls,l,s
33,7,+,0,ps,p,s
33,+,+,1,ls,l,s
33,3,*,0,ls,l,s
34,+,+,1,ls,s,l
34,2,*,0,lp,l,p
34,+,+,1,ls,l,s
34,2,+,0,lp,p,l
34,2,+,0,ps,s,p
34,+,+,1,ps,s,p
34,2,+,0,ps,s,p
34,*,*,1,ls,l,s
34,+,*,0,ps,s,p
34,*,+,0,lp,l,p
35,4,+,0,lp,p,l
35,+,+,1,ps,p,s
35,*,+,0,ps,p,s
35,+,+,1,ls,l,s
35,*,+,0,ls,s,l
35,4,*,0,lp,l,p
35,+,*,0,ls,l,s
35,+,+,1,ls,l,s
35,4,*,0,lp,l,p
35,+,+,1,ps,p,s
36,*,+,0,ls,s,l
36,5,+,0,ls,s,l
36,*,*,1,ls,s,l
36,3,+,0,ps,p,s
36,5,+,0,lp,p,l
36,+,*,0,ps,p,s
36,3,+,0,ps,s,p
36,+,*,0,ls,l,s
36,5,+,0,lp,p,l
36,+,+,1,ps,p,s
37,+,+,1,ps,p,s
37,9,+,0,ls,s,l
37,9,+,0,ls,s,l
37,*,+,0,ls,s,l
37,9,*,0,ls,s,l
37,+,*,0,ps,s,p
37,+,+,1,ls,l,s
37,+,+,1,lp,l,p
37,*,+,0,ls,s,l
37,+,*,0,ps,s,p
38,+,*,0,lp,l,p
38,3,+,0,lp,l,p
38,+,+,1,ls,l,s
38,*,+,0,ps,s,p
38,1,+,0,lp,p,l
38,3,+,0,ls,s,l
38,1,+,0,lp,l,p
38,*,+,0,lp,l,p
38,*,*,1,ps,p,s
38,*,+,0,ls,l,s
39,*,+,0,ls,s,l
39,+,+,1,lp,p,l
39,*,*,1,lp,p,l
39,3,*,0,ls,s,l
39,+,+,1,lp,l,p
39,+,+,1,ls,l,s
39,+,+,1,ps,s,p
39,+,+,1,ls,l,s
39,+,+,1,lp,l,p
39,+,+,1,lp,l,p
40,*,+,0,lp,l,p
40,9,*,0,ps,p,s
40,*,*,1,ps,s,p
40,*,+,0,ps,s,p
40,*,*,1,lp,p,l
40,*,*,1,ps,s,p
40,4,+,0,lp,p,l
40,9,*,0,ps,p,s
40,9,+,0,ls,s,l
40,*,+,0,ps,s,p
41,+,*,0,ls,l,s
41,*,+,0,ps,s,p
41,*,+,0,ps,p,s
41,2,+,0,ls,l,s
41,*,+,0,lp,l,p
41,2,*,0,ls,s,l
41,4,*,0,ps,p,s
41,+,*,0,lp,p,l
41,*,+,0,ps,s,p
41,+,+,1,ps,s,p
42,*,+,0,ps,s,p
42,2,+,0,ps,p,s
42,+,*,0,ps,p,s
42,8,+,0,lp,l,p
42,2,+,0,lp,p,l
42,+,*,0,ps,s,p
42,8,*,0,lp,l,p
42,+,*,0,ls,s,l
42,+,+,1,ps,p,s
42,*,*,1,ps,p,s
43,+,*,0,ls,l,s
43,+,+,1,ls,s,l
43,+,+,1,ps,p,s
43,*,*,1,lp,p,l
43,9,*,0,lp,l,p
43,9,*,0,lp,l,p
43,+,+,1,lp,p,l
43,9,+,0,lp,l,p
43,*,+,0,ps,p,s
43,9,+,0,ls,s,l
44,+,*,0,ls,l,s
44,5,+,0,ps,p,s
44,+,+,1,ps,s,p
44,+,+,1,ps,p,s
44,7,*,0,lp,l,p
44,+,*,0,ps,p,s
44,5,*,0,ps,p,s
44,7,+,0,lp,l,p
44,5,*,0,ps,s,p
44,7,*,0,lp,l,p
45,+,+,1,lp,l,p
45,8,*,0,ls,l,s
45,+,+,1,lp,l,p
45,+,*,0,ls,l,s
45,8,*,0,ls,s,l
45,*,+,0,ps,s,p
45,5,*,0,ps,s,p
45,+,+,1,ls,l,s
45,+,*,0,ps,s,p
45,5,+,0,ls,s,l
46,+,*,0,ls,s,l
46,+,*,0,ls,l,s
46,*,*,1,lp,p,l
46,+,*,0,ps,p,s
46,*,+,0,ps,s,p
46,*,*,1,ps,p,s
46,+,+,1,lp,l,p
46,*,*,1,ls,s,l
46,*,*,1,lp,l,p
46,1,+,0,lp,p,l
47,7,+,0,lp,p,l
47,7,+,0,ls,s,l
47,+,+,1,ls,s,l
47,+,*,0,ps,p,s
47,+,*,0,ps,p,s
47,*,+,0,lp,l,p
47,*,+,0,lp,p,l
47,*,+,0,lp,p,l
47,7,*,0,lp,l,p
47,*,+,0,ps,s,p
48,*,+,0,ls,l,s
48,+,+,1,ps,s,p
48,*,*,1,ps,p,s
48,4,*,0,lp,l,p
48,6,*,0,lp,p,l
48,+,*,0,lp,p,l
48,*,+,0,ls,l,s
48,+,+,1,lp,p,l
48,4,*,0,lp,p,l
48,+,*,0,ps,s,p
49,+,+,1,ls,s,l
49,+,*,0,lp,l,p
49,*,*,1,ps,s,p
49,*,*,1,ps,p,s
49,*,*,1,lp,l,p
49,*,+,0,lp,p,l
49,*,*,1,lp,l,p
49,*,+,0,ls,l,s
49,+,*,0,ps,p,s
49,7,*,0,ls,s,l
50,*,*,1,ls,l,s
50,5,*,0,ls,s,l
50,*,*,1,lp,p,l
50,+,*,0,ps,s,p
50,3,+,0,ls,l,s
50,+,*,0,ps,s,p
50,3,+,0,lp,p,l
50,+,+,1,lp,p,l
50,+,*,0,lp,l,p
50,3,+,0,ps,s,p
