id,choice,composition,correct,kernels,comp1,comp2,other,single
1,+,+,1,ls,p,l,FALSE,FALSE
1,+,+,1,ls,l,p,FALSE,FALSE
1,*,*,1,pp,s,p,FALSE,FALSE
1,*,+,0,ps,p,s,TRUE,FALSE
1,*,*,1,ls,p,l,FALSE,FALSE
1,+,*,0,ls,l,s,TRUE,FALSE
1,+,+,1,lp,s,l,FALSE,FALSE
1,+,*,0,ls,l,p,TRUE,FALSE
1,+,+,1,ls,p,l,FALSE,FALSE
1,*,*,1,ls,l,p,FALSE,FALSE
2,+,+,1,pp,s,p,FALSE,FALSE
2,*,*,1,lp,s,l,FALSE,FALSE
2,+,+,1,ls,l,p,FALSE,FALSE
2,+,*,0,ps,p,s,TRUE,FALSE
2,+,*,0,ls,l,s,TRUE,FALSE
2,*,*,1,lp,s,l,FALSE,FALSE
2,+,+,1,ps,p,s,FALSE,FALSE
2,*,*,1,lp,s,l,FALSE,FALSE
2,+,+,1,ls,p,l,FALSE,FALSE
2,+,+,1,ls,p,l,FALSE,FALSE
3,+,+,1,lp,s,l,FALSE,FALSE
3,*,*,1,pp,s,p,FALSE,FALSE
3,+,+,1,pp,s,p,FALSE,FALSE
3,+,+,1,ps,p,s,FALSE,FALSE
3,+,+,1,ls,l,s,FALSE,FALSE
3,+,+,1,ls,l,p,FALSE,FALSE
3,+,+,1,ps,p,s,FALSE,FALSE
3,*,*,1,lp,s,l,FALSE,FALSE
3,*,+,0,ls,p,l,TRUE,FALSE
3,+,+,1,pp,s,p,FALSE,FALSE
4,3,+,0,ps,p,s,FALSE,TRUE
4,*,+,0,ls,l,s,TRUE,FALSE
4,*,+,0,ls,l,s,TRUE,FALSE
4,*,*,1,ls,l,p,FALSE,FALSE
4,6,+,0,ls,l,p,FALSE,TRUE
4,+,*,0,ls,p,l,TRUE,FALSE
4,+,*,0,lp,s,l,TRUE,FALSE
4,8,*,0,pp,s,p,FALSE,TRUE
4,*,*,1,lp,s,l,FALSE,FALSE
4,6,+,0,ls,l,p,FALSE,TRUE
5,*,*,1,lp,s,l,FALSE,FALSE
5,*,*,1,ps,p,s,FALSE,FALSE
5,*,*,1,ps,p,s,FALSE,FALSE
5,1,*,0,ls,l,s,FALSE,TRUE
5,*,*,1,ls,l,s,FALSE,FALSE
5,8,+,0,ps,p,s,FALSE,TRUE
5,+,+,1,ls,l,p,FALSE,FALSE
5,5,*,0,ps,p,s,FALSE,TRUE
5,*,+,0,ls,p,l,TRUE,FALSE
5,3,*,0,lp,s,l,FALSE,TRUE
6,+,*,0,ls,p,l,TRUE,FALSE
6,+,+,1,ps,p,s,FALSE,FALSE
6,7,*,0,pp,s,p,FALSE,TRUE
6,+,+,1,ls,p,l,FALSE,FALSE
6,2,+,0,ps,p,s,FALSE,TRUE
6,+,*,0,ls,l,s,TRUE,FALSE
6,+,+,1,ps,p,s,FALSE,FALSE
6,+,*,0,ps,p,s,TRUE,FALSE
6,4,+,0,lp,s,l,FALSE,TRUE
6,5,*,0,ps,p,s,FALSE,TRUE
7,*,+,0,pp,s,p,TRUE,FALSE
7,*,*,1,ls,l,p,FALSE,FALSE
7,+,+,1,ls,l,s,FALSE,FALSE
7,*,*,1,lp,s,l,FALSE,FALSE
7,+,+,1,ls,l,p,FALSE,FALSE
7,6,+,0,ls,l,s,FALSE,TRUE
7,+,*,0,ps,p,s,TRUE,FALSE
7,*,+,0,pp,s,p,TRUE,FALSE
7,+,*,0,ls,l,s,TRUE,FALSE
7,7,*,0,ls,l,s,FALSE,TRUE
8,*,*,1,ls,l,s,FALSE,FALSE
8,5,*,0,ls,l,p,FALSE,TRUE
8,*,*,1,ls,p,l,FALSE,FALSE
8,*,+,0,ps,p,s,TRUE,FALSE
8,*,*,1,lp,s,l,FALSE,FALSE
8,5,+,0,ls,p,l,FALSE,TRUE
8,+,+,1,lp,s,l,FALSE,FALSE
8,+,+,1,ls,p,l,FALSE,FALSE
8,6,*,0,ls,l,p,FALSE,TRUE
8,*,*,1,ps,p,s,FALSE,FALSE
9,+,+,1,ls,l,s,FALSE,FALSE
9,+,*,0,ls,l,p,TRUE,FALSE
9,+,+,1,ls,l,p,FALSE,FALSE
9,5,+,0,lp,s,l,FALSE,TRUE
9,+,+,1,ps,p,s,FALSE,FALSE
9,+,*,0,ls,l,p,TRUE,FALSE
9,6,+,0,pp,s,p,FALSE,TRUE
9,2,*,0,ls,p,l,FALSE,TRUE
9,3,*,0,pp,s,p,FALSE,TRUE
9,7,*,0,ls,p,l,FALSE,TRUE
10,+,+,1,ps,p,s,FALSE,FALSE
10,*,+,0,ls,l,s,TRUE,FALSE
10,*,*,1,lp,s,l,FALSE,FALSE
10,+,+,1,ls,l,s,FALSE,FALSE
10,*,*,1,ps,p,s,FALSE,FALSE
10,+,+,1,ps,p,s,FALSE,FALSE
10,+,*,0,ls,p,l,TRUE,FALSE
10,*,*,1,ls,l,p,FALSE,FALSE
10,+,+,1,ps,p,s,FALSE,FALSE
10,*,*,1,pp,s,p,FALSE,FALSE
11,5,*,0,ls,p,l,FALSE,TRUE
11,+,*,0,ls,l,p,TRUE,FALSE
11,+,*,0,ls,l,p,TRUE,FALSE
11,+,*,0,ls,p,l,TRUE,FALSE
11,3,*,0,ls,p,l,FALSE,TRUE
11,*,+,0,ps,p,s,TRUE,FALSE
11,+,+,1,ls,p,l,FALSE,FALSE
11,+,*,0,lp,s,l,TRUE,FALSE
11,9,*,0,ps,p,s,FALSE,TRUE
11,+,+,1,ls,l,s,FALSE,FALSE
12,3,*,0,ls,l,p,FALSE,TRUE
12,5,*,0,ls,l,p,FALSE,TRUE
12,9,+,0,ls,l,s,FALSE,TRUE
12,*,*,1,ls,p,l,FALSE,FALSE
12,+,*,0,ls,l,s,TRUE,FALSE
12,5,+,0,ls,l,s,FALSE,TRUE
12,+,+,1,lp,s,l,FALSE,FALSE
12,3,*,0,ls,l,s,FALSE,TRUE
12,*,+,0,ls,l,p,TRUE,FALSE
12,1,*,0,pp,s,p,FALSE,TRUE
13,8,+,0,ls,l,p,FALSE,TRUE
13,+,+,1,ls,p,l,FALSE,FALSE
13,+,+,1,ls,l,p,FALSE,FALSE
13,+,+,1,ls,l,s,FALSE,FALSE
13,+,+,1,pp,s,p,FALSE,FALSE
13,+,*,0,ls,l,s,TRUE,FALSE
13,*,*,1,ls,p,l,FALSE,FALSE
13,6,+,0,ps,p,s,FALSE,TRUE
13,+,+,1,pp,s,p,FALSE,FALSE
13,*,+,0,lp,s,l,TRUE,FALSE
14,*,*,1,ls,l,p,FALSE,FALSE
14,*,*,1,ps,p,s,FALSE,FALSE
14,*,*,1,ls,p,l,FALSE,FALSE
14,+,*,0,ls,l,s,TRUE,FALSE
14,+,+,1,ls,l,s,FALSE,FALSE
14,*,+,0,lp,s,l,TRUE,FALSE
14,+,*,0,lp,s,l,TRUE,FALSE
14,*,+,0,ps,p,s,TRUE,FALSE
14,8,*,0,ls,l,s,FALSE,TRUE
14,*,*,1,ls,p,l,FALSE,FALSE
15,+,+,1,ls,l,s,FALSE,FALSE
15,+,*,0,ps,p,s,TRUE,FALSE
15,+,+,1,pp,s,p,FALSE,FALSE
15,+,+,1,ps,p,s,FALSE,FALSE
15,*,*,1,pp,s,p,FALSE,FALSE
15,+,*,0,ls,l,p,TRUE,FALSE
15,*,*,1,lp,s,l,FALSE,FALSE
15,+,+,1,ls,p,l,FALSE,FALSE
15,+,+,1,pp,s,p,FALSE,FALSE
15,*,+,0,ls,p,l,TRUE,FALSE
16,*,*,1,ps,p,s,FALSE,FALSE
16,+,+,1,ls,p,l,FALSE,FALSE
16,1,*,0,pp,s,p,FALSE,TRUE
16,2,*,0,ls,l,p,FALSE,TRUE
16,+,*,0,lp,s,l,TRUE,FALSE
16,+,*,0,ls,p,l,TRUE,FALSE
16,+,*,0,ls,p,l,TRUE,FALSE
16,+,*,0,ls,l,p,TRUE,FALSE
16,+,+,1,pp,s,p,FALSE,FALSE
16,*,+,0,ls,l,p,TRUE,FALSE
17,1,+,0,ps,p,s,FALSE,TRUE
17,+,+,1,ls,l,s,FALSE,FALSE
17,1,+,0,ls,p,l,FALSE,TRUE
17,5,*,0,ps,p,s,FALSE,TRUE
17,+,+,1,ls,l,s,FALSE,FALSE
17,*,*,1,ls,l,s,FALSE,FALSE
17,3,+,0,ps,p,s,FALSE,TRUE
17,+,+,1,ls,p,l,FALSE,FALSE
17,6,*,0,ls,l,s,FALSE,TRUE
17,+,+,1,lp,s,l,FALSE,FALSE
18,*,+,0,pp,s,p,TRUE,FALSE
18,5,*,0,ls,l,p,FALSE,TRUE
18,*,+,0,pp,s,p,TRUE,FALSE
18,3,*,0,ps,p,s,FALSE,TRUE
