"","id","choice","composition","correct","kernels","comp1","comp2","other","single"
"1",1,"+","*",0,"ls","l","s",TRUE,FALSE
"2",1,"2","+",0,"ls","l","p",FALSE,TRUE
"3",1,"*","+",0,"ls","l","s",TRUE,FALSE
"4",1,"+","*",0,"ls","l","s",TRUE,FALSE
"5",1,"4","+",0,"ls","l","p",FALSE,TRUE
"6",1,"4","*",0,"ls","l","s",FALSE,TRUE
"7",1,"*","*",1,"ls","l","s",FALSE,FALSE
"8",1,"+","+",1,"pp","s","p",FALSE,FALSE
"9",1,"8","*",0,"ls","l","s",FALSE,TRUE
"10",1,"3","*",0,"pp","s","p",FALSE,TRUE
"11",2,"2","*",0,"ls","p","l",FALSE,TRUE
"12",2,"+","*",0,"pp","s","p",TRUE,FALSE
"13",2,"+","+",1,"ps","p","s",FALSE,FALSE
"14",2,"*","+",0,"lp","s","l",TRUE,FALSE
"15",2,"+","*",0,"ls","l","s",TRUE,FALSE
"16",2,"8","+",0,"ls","l","s",FALSE,TRUE
"17",2,"+","+",1,"lp","s","l",FALSE,FALSE
"18",2,"*","*",1,"lp","s","l",FALSE,FALSE
"19",2,"3","+",0,"ls","l","p",FALSE,TRUE
"20",2,"*","*",1,"lp","s","l",FALSE,FALSE
"21",3,"+","*",0,"ls","l","p",TRUE,FALSE
"22",3,"5","+",0,"pp","s","p",FALSE,TRUE
"23",3,"*","+",0,"pp","s","p",TRUE,FALSE
"24",3,"+","+",1,"ps","p","s",FALSE,FALSE
"25",3,"5","*",0,"lp","s","l",FALSE,TRUE
"26",3,"+","+",1,"ps","p","s",FALSE,FALSE
"27",3,"+","+",1,"ls","p","l",FALSE,FALSE
"28",3,"2","+",0,"ps","p","s",FALSE,TRUE
"29",3,"*","*",1,"ls","p","l",FALSE,FALSE
"30",3,"+","*",0,"pp","s","p",TRUE,FALSE
"31",4,"+","+",1,"ls","l","s",FALSE,FALSE
"32",4,"*","*",1,"lp","s","l",FALSE,FALSE
"33",4,"5","*",0,"ls","l","p",FALSE,TRUE
"34",4,"9","+",0,"pp","s","p",FALSE,TRUE
"35",4,"6","*",0,"lp","s","l",FALSE,TRUE
"36",4,"*","*",1,"ps","p","s",FALSE,FALSE
"37",4,"6","+",0,"ls","l","s",FALSE,TRUE
"38",4,"*","+",0,"ls","l","s",TRUE,FALSE
"39",4,"*","*",1,"ps","p","s",FALSE,FALSE
"40",4,"6","*",0,"ls","l","p",FALSE,TRUE
"41",5,"3","*",0,"ls","l","s",FALSE,TRUE
"42",5,"+","+",1,"lp","s","l",FALSE,FALSE
"43",5,"5","+",0,"ls","l","s",FALSE,TRUE
"44",5,"1","*",0,"ls","l","s",FALSE,TRUE
"45",5,"*","*",1,"lp","s","l",FALSE,FALSE
"46",5,"*","*",1,"ls","p","l",FALSE,FALSE
"47",5,"*","+",0,"ls","l","p",TRUE,FALSE
"48",5,"*","+",0,"ls","p","l",TRUE,FALSE
"49",5,"7","*",0,"pp","s","p",FALSE,TRUE
"50",5,"8","+",0,"ls","l","s",FALSE,TRUE
"51",6,"*","+",0,"ls","l","p",TRUE,FALSE
"52",6,"*","*",1,"ls","l","p",FALSE,FALSE
"53",6,"2","*",0,"ls","p","l",FALSE,TRUE
"54",6,"1","+",0,"ls","l","p",FALSE,TRUE
"55",6,"+","+",1,"lp","s","l",FALSE,FALSE
"56",6,"9","+",0,"ls","p","l",FALSE,TRUE
"57",6,"*","+",0,"ls","l","s",TRUE,FALSE
"58",6,"3","+",0,"pp","s","p",FALSE,TRUE
"59",6,"6","*",0,"ls","l","s",FALSE,TRUE
"60",6,"3","+",0,"ls","l","s",FALSE,TRUE
"61",7,"*","+",0,"ls","l","p",TRUE,FALSE
"62",7,"4","*",0,"ls","p","l",FALSE,TRUE
"63",7,"+","+",1,"lp","s","l",FALSE,FALSE
"64",7,"5","+",0,"ls","l","s",FALSE,TRUE
"65",7,"8","*",0,"ls","l","p",FALSE,TRUE
"66",7,"8","+",0,"ls","l","s",FALSE,TRUE
"67",7,"+","*",0,"pp","s","p",TRUE,FALSE
"68",7,"9","*",0,"lp","s","l",FALSE,TRUE
"69",7,"*","+",0,"ls","l","s",TRUE,FALSE
"70",7,"6","*",0,"ls","l","s",FALSE,TRUE
"71",8,"4","+",0,"ls","l","s",FALSE,TRUE
"72",8,"1","*",0,"ls","l","s",FALSE,TRUE
"73",8,"4","+",0,"ps","p","s",FALSE,TRUE
"74",8,"1","*",0,"ps","p","s",FALSE,TRUE
"75",8,"2","+",0,"ls","l","p",FALSE,TRUE
"76",8,"9","+",0,"ls","p","l",FALSE,TRUE
"77",8,"*","*",1,"ls","p","l",FALSE,FALSE
"78",8,"*","+",0,"ls","l","p",TRUE,FALSE
"79",8,"*","*",1,"ps","p","s",FALSE,FALSE
"80",8,"1","+",0,"ls","p","l",FALSE,TRUE
"81",9,"*","*",1,"ls","l","s",FALSE,FALSE
"82",9,"*","+",0,"lp","s","l",TRUE,FALSE
"83",9,"9","+",0,"pp","s","p",FALSE,TRUE
"84",9,"+","+",1,"ps","p","s",FALSE,FALSE
"85",9,"2","*",0,"ls","l","s",FALSE,TRUE
"86",9,"*","+",0,"ls","l","s",TRUE,FALSE
"87",9,"8","*",0,"ps","p","s",FALSE,TRUE
"88",9,"8","*",0,"pp","s","p",FALSE,TRUE
"89",9,"+","*",0,"ls","l","s",TRUE,FALSE
"90",9,"1","*",0,"ls","l","s",FALSE,TRUE
"91",10,"+","+",1,"ls","p","l",FALSE,FALSE
"92",10,"+","+",1,"ls","l","s",FALSE,FALSE
"93",10,"*","+",0,"ps","p","s",TRUE,FALSE
"94",10,"7","*",0,"ps","p","s",FALSE,TRUE
"95",10,"7","+",0,"ls","l","s",FALSE,TRUE
"96",10,"8","+",0,"ls","p","l",FALSE,TRUE
"97",10,"6","*",0,"ls","p","l",FALSE,TRUE
"98",10,"1","+",0,"ls","p","l",FALSE,TRUE
"99",10,"5","*",0,"pp","s","p",FALSE,TRUE
"100",10,"*","*",1,"lp","s","l",FALSE,FALSE
"101",11,"3","*",0,"ls","l","s",FALSE,TRUE
"102",11,"*","+",0,"ps","p","s",TRUE,FALSE
"103",11,"9","+",0,"ls","l","s",FALSE,TRUE
"104",11,"1","*",0,"pp","s","p",FALSE,TRUE
"105",11,"7","+",0,"ls","l","p",FALSE,TRUE
"106",11,"+","+",1,"lp","s","l",FALSE,FALSE
"107",11,"8","*",0,"ls","l","s",FALSE,TRUE
"108",11,"1","+",0,"ls","l","p",FALSE,TRUE
"109",11,"6","*",0,"pp","s","p",FALSE,TRUE
"110",11,"+","*",0,"ls","p","l",TRUE,FALSE
"111",12,"3","+",0,"pp","s","p",FALSE,TRUE
"112",12,"4","+",0,"ls","l","s",FALSE,TRUE
"113",12,"*","*",1,"ps","p","s",FALSE,FALSE
"114",12,"4","+",0,"ls","l","p",FALSE,TRUE
"115",12,"*","*",1,"lp","s","l",FALSE,FALSE
"116",12,"6","+",0,"lp","s","l",FALSE,TRUE
"117",12,"2","+",0,"lp","s","l",FALSE,TRUE
"118",12,"+","*",0,"ls","l","s",TRUE,FALSE
"119",12,"*","*",1,"lp","s","l",FALSE,FALSE
"120",12,"*","*",1,"lp","s","l",FALSE,FALSE
"121",13,"4","*",0,"ls","l","s",FALSE,TRUE
"122",13,"7","+",0,"lp","s","l",FALSE,TRUE
"123",13,"2","*",0,"pp","s","p",FALSE,TRUE
"124",13,"9","*",0,"ls","l","s",FALSE,TRUE
"125",13,"+","+",1,"ls","l","s",FALSE,FALSE
"126",13,"*","*",1,"ls","l","p",FALSE,FALSE
"127",13,"+","*",0,"pp","s","p",TRUE,FALSE
"128",13,"9","+",0,"ls","p","l",FALSE,TRUE
"129",13,"5","*",0,"ps","p","s",FALSE,TRUE
"130",13,"3","*",0,"ls","l","p",FALSE,TRUE
"131",14,"9","*",0,"ls","l","p",FALSE,TRUE
"132",14,"*","+",0,"ls","p","l",TRUE,FALSE
"133",14,"+","+",1,"lp","s","l",FALSE,FALSE
"134",14,"+","*",0,"ls","l","p",TRUE,FALSE
"135",14,"+","*",0,"ls","l","s",TRUE,FALSE
"136",14,"+","*",0,"lp","s","l",TRUE,FALSE
"137",14,"7","+",0,"ls","l","s",FALSE,TRUE
"138",14,"+","*",0,"ls","l","p",TRUE,FALSE
"139",14,"1","*",0,"ls","l","s",FALSE,TRUE
"140",14,"+","*",0,"ls","p","l",TRUE,FALSE
"141",15,"+","+",1,"lp","s","l",FALSE,FALSE
"142",15,"+","*",0,"ls","p","l",TRUE,FALSE
"143",15,"*","*",1,"lp","s","l",FALSE,FALSE
"144",15,"5","*",0,"ps","p","s",FALSE,TRUE
"145",15,"3","*",0,"ps","p","s",FALSE,TRUE
"146",15,"*","*",1,"lp","s","l",FALSE,FALSE
"147",15,"+","*",0,"ps","p","s",TRUE,FALSE
"148",15,"*","+",0,"ls","l","s",TRUE,FALSE
"149",15,"1","+",0,"ls","l","s",FALSE,TRUE
"150",15,"+","+",1,"ls","p","l",FALSE,FALSE
"151",16,"9","+",0,"ls","l","p",FALSE,TRUE
"152",16,"2","+",0,"ls","l","p",FALSE,TRUE
"153",16,"*","+",0,"ls","l","s",TRUE,FALSE
"154",16,"*","*",1,"ls","l","s",FALSE,FALSE
"155",16,"8","+",0,"lp","s","l",FALSE,TRUE
"156",16,"2","*",0,"lp","s","l",FALSE,TRUE
"157",16,"1","*",0,"ps","p","s",FALSE,TRUE
"158",16,"9","+",0,"pp","s","p",FALSE,TRUE
"159",16,"6","+",0,"ls","p","l",FALSE,TRUE
"160",16,"2","*",0,"ls","l","p",FALSE,TRUE
"161",17,"8","*",0,"ls","p","l",FALSE,TRUE
"162",17,"*","*",1,"lp","s","l",FALSE,FALSE
"163",17,"+","+",1,"lp","s","l",FALSE,FALSE
"164",17,"*","+",0,"ls","l","p",TRUE,FALSE
"165",17,"+","+",1,"ls","p","l",FALSE,FALSE
"166",17,"7","+",0,"ls","l","s",FALSE,TRUE
"167",17,"+","+",1,"lp","s","l",FALSE,FALSE
"168",17,"8","+",0,"ls","l","p",FALSE,TRUE
"169",17,"+","+",1,"ls","p","l",FALSE,FALSE
"170",17,"9","+",0,"ps","p","s",FALSE,TRUE
"171",18,"4","+",0,"ps","p","s",FALSE,TRUE
"172",18,"3","+",0,"ps","p","s",FALSE,TRUE
"173",18,"1","*",0,"ls","p","l",FALSE,TRUE
"174",18,"*","+",0,"pp","s","p",TRUE,FALSE
"175",18,"*","+",0,"ps","p","s",TRUE,FALSE
"176",18,"7","+",0,"ls","l","s",FALSE,TRUE
"177",18,"2","*",0,"pp","s","p",FALSE,TRUE
"178",18,"2","*",0,"ls","p","l",FALSE,TRUE
"179",18,"7","+",0,"ls","p","l",FALSE,TRUE
"180",18,"*","+",0,"ls","l","p",TRUE,FALSE
"181",19,"*","*",1,"lp","s","l",FALSE,FALSE
"182",19,"*","*",1,"ls","l","s",FALSE,FALSE
"183",19,"2","+",0,"ls","l","p",FALSE,TRUE
"184",19,"1","*",0,"ps","p","s",FALSE,TRUE
"185",19,"6","+",0,"ls","p","l",FALSE,TRUE
"186",19,"2","*",0,"lp","s","l",FALSE,TRUE
"187",19,"+","+",1,"ls","l","p",FALSE,FALSE
"188",19,"4","*",0,"ls","l","s",FALSE,TRUE
"189",19,"1","*",0,"ls","l","p",FALSE,TRUE
"190",19,"*","*",1,"pp","s","p",FALSE,FALSE
"191",20,"7","*",0,"ls","l","s",FALSE,TRUE
"192",20,"*","*",1,"ps","p","s",FALSE,FALSE
"193",20,"+","+",1,"ls","p","l",FALSE,FALSE
"194",20,"1","*",0,"ls","l","p",FALSE,TRUE
"195",20,"*","*",1,"pp","s","p",FALSE,FALSE
"196",20,"*","+",0,"ls","p","l",TRUE,FALSE
"197",20,"1","*",0,"lp","s","l",FALSE,TRUE
"198",20,"+","+",1,"lp","s","l",FALSE,FALSE
"199",20,"7","*",0,"ps","p","s",FALSE,TRUE
"200",20,"9","+",0,"ls","l","s",FALSE,TRUE
"201",21,"7","+",0,"ls","p","l",FALSE,TRUE
"202",21,"+","*",0,"ls","p","l",TRUE,FALSE
"203",21,"+","*",0,"lp","s","l",TRUE,FALSE
"204",21,"+","*",0,"ls","l","s",TRUE,FALSE
"205",21,"+","+",1,"lp","s","l",FALSE,FALSE
"206",21,"1","*",0,"pp","s","p",FALSE,TRUE
"207",21,"*","+",0,"ls","l","p",TRUE,FALSE
"208",21,"8","+",0,"ls","l","p",FALSE,TRUE
"209",21,"4","*",0,"ls","l","s",FALSE,TRUE
"210",21,"+","+",1,"ps","p","s",FALSE,FALSE
"211",22,"8","*",0,"pp","s","p",FALSE,TRUE
"212",22,"+","*",0,"ls","l","p",TRUE,FALSE
"213",22,"4","*",0,"ls","l","p",FALSE,TRUE
"214",22,"*","*",1,"ps","p","s",FALSE,FALSE
"215",22,"3","*",0,"ls","l","s",FALSE,TRUE
"216",22,"7","*",0,"pp","s","p",FALSE,TRUE
"217",22,"*","+",0,"ls","l","p",TRUE,FALSE
"218",22,"+","*",0,"pp","s","p",TRUE,FALSE
"219",22,"*","*",1,"ls","p","l",FALSE,FALSE
"220",22,"+","+",1,"lp","s","l",FALSE,FALSE
"221",23,"*","*",1,"lp","s","l",FALSE,FALSE
"222",23,"+","+",1,"pp","s","p",FALSE,FALSE
"223",23,"*","+",0,"ls","l","s",TRUE,FALSE
"224",23,"2","*",0,"pp","s","p",FALSE,TRUE
"225",23,"*","+",0,"ls","l","s",TRUE,FALSE
"226",23,"+","+",1,"lp","s","l",FALSE,FALSE
"227",23,"*","*",1,"ps","p","s",FALSE,FALSE
"228",23,"2","+",0,"lp","s","l",FALSE,TRUE
"229",23,"+","+",1,"lp","s","l",FALSE,FALSE
"230",23,"9","*",0,"ls","l","s",FALSE,TRUE
"231",24,"4","*",0,"ls","l","p",FALSE,TRUE
"232",24,"*","+",0,"ps","p","s",TRUE,FALSE
"233",24,"*","+",0,"pp","s","p",TRUE,FALSE
"234",24,"*","+",0,"ls","l","p",TRUE,FALSE
"235",24,"*","+",0,"ls","l","p",TRUE,FALSE
"236",24,"+","*",0,"ls","l","p",TRUE,FALSE
"237",24,"8","*",0,"ps","p","s",FALSE,TRUE
"238",24,"1","*",0,"ls","l","p",FALSE,TRUE
"239",24,"+","+",1,"ps","p","s",FALSE,FALSE
"240",24,"2","+",0,"pp","s","p",FALSE,TRUE
"241",25,"+","*",0,"lp","s","l",TRUE,FALSE
"242",25,"*","*",1,"ps","p","s",FALSE,FALSE
"243",25,"3","+",0,"ls","p","l",FALSE,TRUE
"244",25,"8","*",0,"pp","s","p",FALSE,TRUE
"245",25,"*","*",1,"ps","p","s",FALSE,FALSE
"246",25,"6","+",0,"ps","p","s",FALSE,TRUE
"247",25,"2","*",0,"ls","l","p",FALSE,TRUE
"248",25,"*","+",0,"ls","l","s",TRUE,FALSE
"249",25,"+","*",0,"ls","l","p",TRUE,FALSE
"250",25,"*","+",0,"lp","s","l",TRUE,FALSE
"251",26,"*","*",1,"ls","p","l",FALSE,FALSE
"252",26,"*","+",0,"ps","p","s",TRUE,FALSE
"253",26,"8","*",0,"ls","l","s",FALSE,TRUE
"254",26,"+","*",0,"ls","p","l",TRUE,FALSE
"255",26,"9","+",0,"ls","p","l",FALSE,TRUE
"256",26,"*","*",1,"ls","l","p",FALSE,FALSE
"257",26,"1","*",0,"ls","l","s",FALSE,TRUE
"258",26,"*","*",1,"pp","s","p",FALSE,FALSE
"259",26,"4","+",0,"pp","s","p",FALSE,TRUE
"260",26,"6","*",0,"pp","s","p",FALSE,TRUE
"261",27,"*","*",1,"ls","l","s",FALSE,FALSE
"262",27,"4","+",0,"ls","l","p",FALSE,TRUE
