"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",-1.53886583753021,-1.32534845670096,-1.00619044161797,-4.2615714098786,-6.73733703196495,-2.37572090598004,-2.48598375978796,-2.62873731502178,-3.47144340052252,-2.7400659260048,-3.03678695656615,-2.92491638750703,-5.85369689554528,-6.5296618461606,0.577019036287508,-3.90070522343983,-5.88135773397494,-0.0619772919310832,-4.62610447932485,-5.31928400931503,-4.69160464847798,-2.08878793646452,-2.1581815237347,-0.40857275603877,-0.825154264842703,-5.62885126427059,0.759364838293464,-2.2524921590156,-2.75576342753876,-1.30194835614417,-3.7178450194183,-0.933108882607408,0.506296451098458,-3.19532781275696,-3.15854973115979,-5.88522839999106,-0.45471835342136,-0.982917429952449,-2.09775416233166,-1.8047329712058,-1.37038981145355,-2.19053543384736,-1.63449453236227,-0.0175304263499223,-2.44510201621423,-6.70363540315403,-2.78612406565021,-3.93014449580703,-3.46895768856636,-2.58300156087738,-3.69344279325559,-2.07870815612805,-2.09980380744174,-0.466411749976589,-3.34087184273646,-0.371640787884965,-4.01713934503645,-2.61635992678088,-1.75169464976064,-2.31225034591485,-3.77543508950196,-0.5181705217472,-5.14135350370367,-2.94975796210496,-2.16714821511287,-1.0338079687307,-3.05235754321764,-2.29861105261406,-4.15247036499963,-3.12489666147562,-1.41144559058342,-6.86037073172198,-3.21943759047666,0.861715848582163,-2.00130261796322,-0.152542472563562,-4.07211365388925,-4.69243787957131,-4.93685119768374,-3.19368340146459,-3.84255835197907,-1.27894019965056,-4.26893977221626,-4.36321324157865,-3.76917427728464,-5.38178904882745,-3.14077044286298,-0.929406165844123,-4.62456407431011,-3.2262782247307,-0.326253606690932,-0.995733073317397,-0.847304277825489,-3.23466719547861,-2.33594348301195,-2.73789085182623,-2.20533352577375,-2.83265136043223,-0.503248149676045,-5.20391575203838
"2",-1.6291711444866,-0.790365258107376,-1.28973391945906,-4.45211006755618,-6.5779964942115,-2.26336625005768,-2.48767564203388,-2.66905093415216,-2.78262007765724,-2.51270121388112,-3.06600509607929,-2.98732086025056,-5.33092059782104,-5.76814375097827,0.565224133183796,-3.66677856752109,-5.26955650710418,-0.0285362415773101,-4.63760206296272,-5.21276975520342,-4.33491336824895,-1.6860168361443,-1.85144939123715,-0.357767714464265,-0.906794087274354,-5.15241659352101,1.02527645398614,-1.68469195589613,-2.39806067069195,-1.36494099962139,-3.84836947081146,-1.43021955694736,0.359977022902448,-3.23642314978128,-3.32874009316582,-5.88649064462912,-0.32561961332804,-0.737938234400448,-1.84436327912123,-1.53150432041852,-1.21378730662873,-1.75820503735837,-1.42216469999686,0.0839176103840816,-1.81887014261947,-6.35307862031666,-2.73496097684945,-3.62587601656773,-3.2638728534061,-2.57597049566687,-3.21016611340665,-2.20655713513664,-1.64948508569958,-0.64209281761427,-2.91955517469441,-0.206715365665549,-3.87065853386727,-2.37151732337362,-1.47464814034371,-2.1297779443027,-3.43479204957289,-0.544484629177053,-4.78898654502172,-2.82072570072751,-2.19150069277602,-1.23254506658691,-2.89958507228252,-1.61883665224431,-3.99427062896951,-2.81319895777946,-1.38505063388732,-6.93497857715761,-2.79917773284538,0.597936216978827,-2.1765804779267,-0.354967194118803,-3.89552265550686,-4.526408160859,-4.64551180649022,-3.1830648016679,-3.40045094158405,-1.07049195227998,-4.27085038079283,-4.14466977274975,-3.32862481194545,-5.28460446718666,-2.9572277356857,-0.951938892835466,-4.57832500107081,-3.20941904675819,-0.584865723634809,-1.14885418072361,-0.679493750650521,-3.1334485195966,-2.54392493787991,-2.60698940311684,-2.15654975523753,-2.77735087090468,-0.164969257317104,-5.19304382685397
"3",-2.02401274049423,-0.598817912063199,-1.58815062930459,-4.23402305036382,-6.07783602550642,-1.78099928558871,-2.30865431026212,-2.58753843260529,-2.24772391673582,-2.19758382066801,-3.15879085385192,-3.22801543532564,-4.6844508308475,-5.40277502329655,0.632999528251585,-3.25978336977066,-5.11930812431385,-0.0541029142548452,-4.732144780847,-5.0385536738446,-4.29903797948151,-1.66793279819735,-2.10305299098295,-0.0699714490880294,-0.871919572077575,-4.80001672354657,1.24471913888911,-1.78921929726722,-2.21704082792446,-1.10511285244108,-3.51774808504585,-1.27559991558769,0.216294532574786,-2.79139952167011,-3.31894435409966,-5.01719983099086,-0.168465863968967,-0.508169669282589,-1.41645026723676,-1.72536895137177,-1.25920120410044,-1.55462239217768,-1.70695593302312,0.120745135636997,-1.85143483447976,-6.48227684722617,-2.58945124479114,-3.52644051941645,-3.12565744407787,-2.44461900646201,-3.20120412882655,-1.54676956423275,-1.88256786811907,-1.09243720102671,-2.65268016794632,-0.387324498619546,-3.78027574804131,-2.03408647182067,-2.08292932088925,-1.89634164165998,-2.84006051983537,-0.541988357409149,-4.41314801353895,-2.49092201914502,-2.47666757167477,-0.996691397252569,-2.75213961560547,-1.03993887277644,-3.23854200300843,-2.8785488058822,-1.46950792563666,-6.28631528615843,-2.64734121105037,0.664453312720548,-2.1307463141998,-0.278607610583939,-3.90714140358673,-4.40707529244726,-4.40536620391712,-3.17383720799497,-2.71434108117295,-1.41661892732096,-4.08388337223498,-4.00949146521658,-3.27920363838971,-4.54123682900917,-2.64951265325778,-1.62902222788057,-4.80682198464015,-3.18215528423867,-1.01876201746522,-1.07155427910052,-0.500531834854257,-2.75055869661263,-2.41621108342825,-2.7166922088781,-1.75995373837154,-2.98063211038307,-0.144446569113345,-5.13806555575046
"4",-1.91822212243774,-0.356128753203936,-1.17112400822413,-3.59810039461867,-5.86103366879785,-1.75882952012975,-2.26744245152678,-2.64874654356721,-2.09554903415363,-2.14302533648454,-3.59692504682217,-2.89935013658098,-4.67543424370789,-4.96453627752333,0.728957963540081,-3.41781969641406,-4.32517970293676,0.00981436494007561,-4.34827111535058,-4.65978448368805,-4.13000430770706,-1.48651446644492,-2.26841497598254,0.11656145111194,-0.799387137043554,-4.55466386342088,1.23257898272077,-1.38148475317526,-2.06367205137646,-0.946682227716318,-3.02111711612644,-1.13807307304511,0.370328233148475,-2.59867054833516,-3.36257491386791,-4.76439541123669,0.227495431738793,-0.289954230295772,-1.4123843682957,-1.38702008827567,-1.10183076410552,-1.43981113437543,-1.66217358601169,-0.179292356730537,-1.92750395532657,-6.1429000368306,-2.47524889453757,-3.4512856961101,-3.21359565143133,-2.32033421523097,-3.20048143758904,-1.81353698563405,-1.82945379268781,-1.2638917431607,-2.51420848657979,-0.391540626188161,-3.78355763319381,-1.97908616943676,-2.073311687266,-1.81790934393554,-2.76682657840433,-0.373999910638937,-3.82714726924768,-2.47581787097553,-2.44244033785597,-1.1966448374117,-2.83761228611936,-0.828939196203789,-2.75058694568326,-2.84263460408689,-1.31676200643742,-5.71921226292813,-2.22016973264523,0.385437291733934,-1.97515022366155,-0.483565073976203,-3.75723043490013,-3.91729005476101,-4.1871713750948,-3.24947320984475,-2.84877281789357,-0.985010671127743,-4.16831865641457,-4.10208419203115,-2.89145100248663,-4.02763109072551,-2.51369632688915,-1.77178940415441,-4.78956730747746,-3.10971209341413,-0.571769210778038,-0.973007546184313,-0.384155676773362,-2.87914478629367,-2.05936584991684,-2.45394348728838,-1.74030945213004,-2.83153119225471,-0.398791320589292,-4.92548220493391
"5",-1.69864416627508,-0.518158468367219,-1.13465891146135,-3.40245041441052,-5.73373667868559,-1.51018068575216,-2.5730031422713,-2.54286706169289,-1.6805712723136,-1.68742153531484,-2.83719190054456,-3.07370670513596,-4.59580388727988,-4.22290286010586,0.353948112417283,-3.25675326553958,-3.89778264069626,-0.202891820339547,-3.90177517324823,-4.22151961227023,-3.95133681691454,-1.47222975448343,-2.00997178651422,0.115357028233182,-0.347512576189951,-4.34302466388474,1.12230138967223,-1.3120979015286,-2.06351470938029,-1.04013569450524,-2.66268201385387,-0.725608100952425,0.760360559656255,-2.52812492345602,-3.27854070424731,-4.54813538901138,0.327731711848986,-0.772771163119439,-1.63939300743383,-1.1988670490326,-0.82774279234018,-0.880079639733565,-1.61279075971544,-0.447714832381023,-1.98540746952568,-5.67837007825855,-2.02226912264477,-3.37806805264686,-3.25132484341973,-1.97675687711405,-3.50400682611416,-1.55156026278,-1.570387377048,-1.27271153548931,-2.54573010021679,-0.747778140295618,-3.35624630577901,-1.96113565535836,-2.16648029750582,-1.78391849768115,-2.84771904915879,-0.409463328448411,-3.54871349510027,-2.18586615848783,-2.19951664150191,-1.27120853205353,-2.30218382360042,-0.563131039798416,-2.82412928849486,-2.71095053514429,-1.48119165691861,-5.58533512616252,-1.94490692418392,0.0873951306182516,-2.3112203082253,-0.81467165585918,-3.1690891634678,-3.64438247689416,-3.76785334652511,-2.87471517772282,-2.31394981339159,-0.761362106477185,-4.15620371498708,-4.01329113677728,-2.79904768725043,-3.71846495544129,-2.44164214630597,-1.82379719900996,-4.52629485366367,-2.26296923637561,-0.348543419627672,-0.757136189691819,-0.770319467002491,-2.38606682204642,-1.51812091387649,-2.40191509819743,-1.33134979719776,-3.0662966703311,0.28419447362084,-4.6792724270639
"6",-1.54621712861973,-0.65194950021506,-1.28692094407162,-3.17642947174497,-5.31150120908557,-1.47103665734522,-2.85239573113334,-2.42257242161194,-1.66143590924722,-1.7350309928068,-2.66409831854011,-2.88645590613556,-4.05336046347779,-3.73031066400681,0.27217984644778,-3.20675947240239,-3.41566191075972,0.00982278327788144,-3.88178874103388,-3.87650520409669,-3.91846285401174,-1.32130568336778,-1.59528904634257,-0.0829894661494031,-0.150116416197052,-4.07307498044385,1.20652672030829,-0.799805350307088,-1.79648134455982,-0.599028850298972,-2.4075490714691,-0.6734582405305,0.0999796022370528,-2.58792177745443,-3.23400944280879,-4.346774931482,-0.109097391937049,-1.34338384157997,-1.32003586430662,-1.31990864089423,-0.736668382523754,-0.392703184266334,-1.50204937184914,-0.506117249384324,-2.03705853120371,-5.28629280001442,-1.68800143200582,-3.03521375935634,-3.15091661538186,-1.37686775776769,-2.89697497925896,-1.51378275165401,-1.32672660773126,-1.17940710292707,-2.5728634315017,-0.843286795548024,-2.86964288046663,-2.0714931135046,-2.23162311490118,-1.49433428808111,-2.54790664615301,-0.276071397981343,-3.35057798565655,-2.10107851447574,-2.15436078449032,-1.30490454873202,-1.84089753663882,-0.454733536751866,-2.45754140265888,-3.07635592232572,-1.42010768801326,-5.14463039466953,-2.57965979607083,0.282924151578604,-2.41253839934223,-0.357518737603458,-2.62622914219347,-2.9893410356798,-3.64957196922965,-2.01364505126032,-1.99901978900826,-0.542659148726764,-3.99177902318276,-3.65682279553653,-3.29718861681677,-3.32309069567122,-2.29490017488572,-1.49211566607876,-4.84053790066386,-1.9864812990611,-0.477460141768376,-0.794685570366085,-0.513116753624937,-1.96495057740926,-1.45300072205181,-2.06271078862439,-1.0227386210248,-2.91299861790603,-0.5631942532924,-4.60640094546015
"7",-1.52212785059817,-0.816606571803086,-1.32797889483324,-3.35823623671258,-4.76961390125304,-0.887943783679562,-2.39620532085405,-2.27437072548099,-1.67248690202987,-1.72964222498789,-2.5396415511672,-2.79862097121886,-3.64404439300354,-3.32105052926938,0.00985897740146679,-3.04065126033137,-3.15965853469429,0.189414459930881,-3.43027275113706,-3.85162673508743,-3.54266082169113,-1.20636481331276,-2.1361933757726,-0.376597372345747,-0.0725586192469443,-4.04914540381552,1.62130392022874,-1.0819871376081,-1.46341949041121,-0.645452186173686,-2.09986538049193,-0.167078210762937,0.299945840404232,-2.05053093878115,-2.83726999471272,-3.72003120120892,0.00977768860486135,-1.58734544488968,-0.850446683083231,-0.781591775028019,-0.820574184718575,0.103111802641632,-1.36321827323533,-0.670845007380637,-2.25129952767566,-5.62730220508653,-1.74731966969914,-2.7976782691235,-2.75704539641128,-1.57761321349012,-2.86723679834318,-1.35315338463654,-1.12364868675697,-0.753755506779439,-2.11307658064732,-0.49283729058445,-2.52672619657879,-2.12395636015421,-1.78763486750366,-1.44763957165284,-2.43153351065101,-0.387989533299444,-2.97002901176812,-2.10389533413437,-1.96435095062744,-1.36827326415874,-1.64586375216435,0.204343884098621,-2.37119540454147,-3.15415182898815,-1.79548437254972,-4.72538774176416,-1.84661659651598,0.266365216831712,-2.76182955376046,-0.492321843224963,-2.34227071636112,-2.55336465050521,-3.63845687771651,-1.75262505447509,-2.26579019636043,-0.994805187667023,-4.03555334378365,-3.69142630289597,-3.0632739506109,-2.74614661357545,-1.9310821355564,-1.36898175570508,-4.84720550002145,-1.84380914793631,-0.432998670206594,-0.538060393489702,-0.0632031658361332,-1.95614536744688,-1.09964903063243,-1.88349868040172,-1.12402526375591,-2.81004015919535,-0.708190178584957,-4.25118743226483
"8",-1.21669365267591,-1.18245984371602,-1.380731415213,-2.95503116677313,-4.31310089252155,-1.03666315508992,-2.1621379165147,-2.51401999989972,-1.59030356214935,-1.67780417283839,-2.48464696108995,-2.60725687588545,-3.54848591941371,-3.42735911892848,-0.3044296444746,-2.5013846796045,-2.68076759599835,0.459207508902891,-3.38461968461334,-3.50059420449309,-3.53306114366202,-1.17865158393514,-1.97435786302962,-0.157512659710957,0.0408582529344452,-3.58517928700112,1.55909425738054,-1.26248013536051,-1.20982905764645,-0.454166762243132,-1.91973367728718,-0.32984702514085,0.283235274126531,-1.65272687887535,-2.71640973749379,-3.36367689408772,0.0812077839640413,-1.61260014584852,-0.707581673744196,-0.376002957425601,-0.806714449791082,0.0741395387686775,-0.824172143504554,-0.998237662128538,-1.73749102558784,-5.39400776703733,-1.6327933539591,-2.52146518118023,-2.76690064193743,-1.13342716821215,-3.00278804877122,-1.18780747303406,-0.967856877007883,-0.698937541038753,-1.7661023090809,0.0709106975003257,-2.03231409517439,-1.90087915685973,-1.60178011746483,-1.31092006967767,-2.08291407536796,-0.306392811962579,-2.76982063818711,-1.8368674527322,-2.26054186778846,-1.66358290633932,-1.68640295993659,0.307958923404528,-2.04345919262203,-3.4065534952375,-1.49933706233181,-4.36909491860881,-2.1024261694255,0.236818110180595,-2.88278420834027,-0.580794482581296,-2.14058699496864,-3.01152542105473,-3.54110260975393,-1.53141939472175,-2.02024957992955,-0.637720197600084,-3.79248145922254,-3.45372478515651,-2.58761799124643,-2.39192731126832,-1.85969439119957,-1.24394318585598,-4.69834648387589,-2.27364337299998,-0.562979012176456,-0.105137992003408,-0.169361054208642,-1.7847185240914,-1.02590913418622,-1.53528140407809,-0.827294200513993,-2.86797307329833,-0.520168370198938,-3.6214910239208
"9",-0.971499764993691,-1.16767372853499,-1.23341668643328,-2.480635445468,-4.28016531531649,-1.09823667338648,-2.27700949700289,-2.46382441652358,-1.10698373557531,-1.8698444009296,-2.3016881493019,-2.98768963006449,-3.40358747746877,-3.03440946621054,-0.403842417787525,-2.46574612458242,-2.38176779866484,0.758974945078516,-3.0692294840303,-3.88293423927722,-3.72151817257188,-1.11005268836675,-1.74307819917667,-0.518632904557873,0.300432126754912,-3.40676194139062,1.64996289361566,-0.960818057049556,-1.08360731470967,-0.0766541077912454,-1.70237197378624,-0.441309673582267,0.599594328338707,-1.53257290913269,-2.18252263529698,-2.84870243337408,0.295694193693173,-1.45330772388103,-0.835191033020052,0.460183142459365,-1.00144844760642,0.443441729113683,-0.964591966626118,-1.07393718099324,-1.34582266284511,-5.09648893700071,-1.3462331467741,-2.74447827810723,-2.88034968774142,-1.00096769507706,-2.81772615565199,-1.25970758043981,-0.955360512228358,-0.56606779593654,-1.99684166744897,0.133975892101552,-1.96426855077396,-1.99853768680012,-1.42973259478768,-1.29049848282716,-2.02294072991476,-0.405266324274864,-2.77284874725458,-2.00416492846352,-2.17678119147645,-1.55194846657737,-1.57788031932754,0.483948516503781,-2.10410492548533,-3.68509181750139,-1.00779883399308,-3.70593019152205,-1.71767033889246,0.405270731215589,-2.73793813763698,-0.324399565274972,-1.8943252302706,-3.04933836851944,-3.46928652414431,-1.10576199978423,-1.75687987215516,-0.719953183394768,-3.4891529418067,-3.68326268900364,-2.28178202049808,-2.26767983694768,-1.38985110964636,-1.4093766115666,-4.12503191211783,-2.40934724403349,-0.556475637584221,0.16891448092446,-0.780478089893051,-1.67199941486844,-0.601816773759401,-1.35051434829816,-0.566025187277066,-2.82582164625462,-0.631039463266474,-3.55326791706237
"10",-0.367131037559356,-1.23448755471117,-1.26904712117096,-2.20686304888662,-4.08160898107251,-0.730774697366349,-2.40192920681033,-2.36688758686292,-0.425205006037014,-1.82045849252102,-2.20107518051927,-3.61468439063778,-3.26146437524376,-2.89736027577879,-0.54500617553755,-2.4732511535531,-1.95152161472123,0.782604377311312,-2.95246276974657,-3.73021525255433,-3.15254147668381,-0.772143435747347,-1.43306342394986,-0.561070240318737,0.508929611602714,-3.08492333188548,1.44131153565915,-1.18050162657806,-0.823917826420858,0.428902444757195,-1.30294754302312,-0.509298923742649,0.691204611575718,-1.24792804357561,-1.93354073518297,-2.65086478916472,0.556146419701654,-1.71344829168605,-0.795972034521991,0.281291870556885,-0.898511906152194,0.342248299204597,-0.935284870873256,-1.43639481152614,-1.25551718708021,-4.43540159292906,-0.764731528815179,-2.67156439540383,-2.5090185290292,-1.29803448923756,-2.47219865101293,-1.16071905363331,-0.505914931714637,-0.368268257273126,-1.86022733914643,0.265789044317798,-1.77905264637052,-1.82816239086756,-1.62549571308249,-1.45334827350719,-1.66539671399148,-0.725383820361242,-2.49780190709818,-1.8537499016162,-1.68711620095569,-1.08629845153679,-1.38179626183384,0.254094901794016,-1.85053427221105,-3.23091888420759,-0.877729106258279,-3.45994635123047,-2.07187604105606,0.316127942754105,-2.79920921366161,0.088098652772046,-1.85630709028592,-2.4976917228015,-3.35615375008079,-0.792222391267945,-1.61648355772538,-0.819954805317628,-3.44383663657778,-2.96522256968741,-1.72240698980949,-1.82880298126236,-1.23018542726801,-1.57320379207514,-3.74279370457459,-2.47315093624031,-1.03245267162557,0.215710433291378,-1.17729916500299,-1.648539443934,-0.570284999976137,-0.998815893264205,0.0383228297520653,-2.81655098236766,-0.586842633069137,-3.02691143874365
