"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
"1",-0.086065336160646,-0.965149433409849,-0.884273737809277,-3.45668938529389,-0.474170233073608,-1.07640111363185,-2.35115266183922,-0.230050409575294,-1.24075055496591,-0.528381374220854,-0.693472426137259,-0.758871119815617,-5.78038636906992,-1.28584081957619,-0.231909316212878,-3.75664475947959,-2.9031377768433,-2.7696831395419,-2.34108875542308,-0.943298815906945,-1.31515732325876,-4.23685731280821,-2.96560138045827,-0.841297196557654,-0.695671645722805,-0.784195932829513,-1.04092698318683,-2.19689960131948,-1.10271905192778,-1.58620401751683,-1.44683567845218,-1.20661060176067,-0.91835273266535,-3.32295722692192,-1.24175570789054,-3.85181960020929,-1.2689475972323,-0.168000096450701,-0.26676793417885,-1.76716380962257,-1.80040706963181,-1.26822814289528,-2.2784397244132,-2.51619678483021,-0.635239360120547,-1.19588403603856,-4.63293584883037,-1.49826699728478,-1.58384171613994,-0.54787454323298,-4.13729955456937,-1.04858373915348,-1.19922956818036,-3.9832735418998,-0.176026099616503,-2.39316250901748,-1.23896791368553,-3.88384602462478,-0.643303832268446,-3.29229973681568,-1.83855931804068,-0.955974472658927,-3.38518919647037,-2.26957382833105,-2.36930651135122,-3.82316187945747,-0.966558832781586,-2.15741618761956,-1.75561936675496,-1.74499268689615,-0.788452421542653,-2.99003310216294,-0.893046496238296,-2.46877713698954,-2.7730708618793,-1.39539740662363,-1.77796166375642,-2.21457537265512,-2.0973884680512,-4.25496065209385,-1.52395184473259,-5.11446362785454,-0.750690887730142,-2.83095036276785,-0.546372338230861,-2.4958902126351,-2.84672400148058,-1.59991074256932,-0.499367918238736,-0.511703830679881,-1.65493954311373,-0.912771002987519,-1.08994725406437,-0.309753390846873,-1.5145689716305,-2.24708346080074,-2.41095787655942,-1.17348333669396,-1.32839726048471,-0.793666498588365
"2",-0.0817619745884164,-0.916892708151515,-0.840060209473283,-3.28385531453511,-0.4504616248932,-1.02258041321683,-2.23359446431305,-0.218548173270432,-1.17871195028715,-0.501962420145635,-0.658798317701908,-0.720928200964288,-5.49136722880832,-1.22154900919761,-0.220314373006004,-3.56881226465653,-2.7579806083932,-2.63119968405612,-2.22403496332273,-0.896133878960588,-1.24939907904915,-4.02501411152006,-2.81732190445368,-0.799231576672014,-0.660889027937573,-0.744986166774253,-0.988880383619266,-2.08705500504205,-1.04758279397598,-1.50689335477904,-1.37449282308345,-1.14628002453387,-0.872434396158699,-3.15680870757592,-1.17966811557988,-3.65922778781854,-1.20550078623449,-0.159599631236138,-0.253429550150328,-1.67880590119265,-1.71038687600564,-1.20481566186874,-2.16451801753879,-2.39038825128075,-0.603477332754228,-1.1360901795221,-4.40128887845696,-1.42335514099154,-1.50464877136238,-0.520481080581647,-3.93043480530061,-0.996155819380481,-1.13926899277241,-3.78410894616505,-0.16722454038787,-2.27350356509133,-1.17701987378105,-3.68965346413207,-0.611139926013081,-3.12768457302298,-1.74663070109505,-0.908175330911663,-3.21592941163241,-2.15609395545395,-2.25084132851683,-3.63200352905172,-0.918230861494217,-2.04954472470822,-1.66783839659752,-1.65774309123683,-0.749030010216663,-2.84053077496765,-0.848394121057123,-2.34533850435874,-2.63441737345309,-1.32562744277085,-1.68906370133604,-2.10384746905573,-1.99251921109456,-4.0422128833012,-1.44775381457631,-4.85874210564508,-0.713156092335689,-2.68940412311351,-0.51905346194993,-2.37109592760551,-2.7043883381264,-1.51991667573205,-0.474399944884656,-0.486118339320725,-1.57219166908628,-0.867132369885452,-1.03545078080063,-0.294266118261739,-1.43884047075995,-2.13473050689135,-2.29041029425689,-1.11480893607851,-1.26197683843776,-0.753983426973432
"3",-0.077458623857613,-0.868635282508664,-0.795846603361431,-3.11102076754857,-0.426753152870296,-0.968760412935899,-2.11603668342065,-0.207045630238006,-1.11667453451796,-0.475543334484268,-0.624124758888647,-0.682984525771159,-5.20234797679305,-1.15725700637607,-0.208718841253814,-3.38098016091676,-2.61282366985564,-2.49271551060314,-2.10698035155657,-0.848968957460524,-1.18364125671317,-3.81317121614355,-2.6690417780393,-0.757166727411959,-0.626105361830152,-0.705776397451122,-0.936834197026274,-1.9772099536998,-0.992446869438588,-1.42758322710773,-1.30215103174455,-1.08594960926199,-0.82651673578868,-2.99066089747754,-1.11758040832414,-3.46663677440269,-1.14205347597985,-0.151199605556604,-0.240091197633249,-1.59044782393436,-1.62036672550778,-1.14140423301235,-2.05059609175929,-2.26457827327391,-0.571715318374573,-1.0762959723328,-4.16964215675067,-1.3484417533744,-1.42545676280693,-0.493087413707111,-3.72356980172588,-0.943726498011162,-1.07930757666034,-3.58494532509156,-0.15842317251913,-2.15384547143808,-1.11507150742763,-3.49546121714232,-0.57897474397666,-2.96306952885922,-1.65470274653688,-0.860376634411223,-3.04667003440755,-2.0426153249931,-2.13237597026848,-3.44084544686332,-0.869902942619088,-1.94167399276689,-1.58005752350636,-1.57049338052595,-0.709607418361654,-2.6910291338109,-0.80374177215216,-2.22189963236529,-2.49576396050508,-1.25585753814682,-1.60016561207388,-1.99311852430356,-1.88764980618786,-3.82946491752537,-1.37155637549601,-4.60301884440121,-0.67562151681102,-2.5478566106895,-0.491734917021616,-2.24630147933491,-2.56205208121153,-1.43992110918308,-0.449431464141656,-0.460533254791046,-1.48944485422892,-0.821493875102211,-0.980953416555906,-0.278778481110528,-1.36311195630648,-2.02237618621227,-2.1698624168,-1.05613481185376,-1.19555700612996,-0.714300134290755
"4",-0.073155548555811,-0.820377493025912,-0.751632738882587,-2.93818630657858,-0.403044484290744,-0.914940417838362,-1.99847950895225,-0.195542957535511,-1.05463699323616,-0.449124325822637,-0.589451370426522,-0.645041127002588,-4.91332851766728,-1.09296452110394,-0.197123275177457,-3.19314794505907,-2.46766696567626,-2.35423136368063,-1.98992583118161,-0.801803997582906,-1.11788344329023,-3.60132850383784,-2.52076141525399,-0.715101932670426,-0.59132177456148,-0.666566599728122,-0.884787666337097,-1.86736492650049,-0.937310778413042,-1.34827314880194,-1.22980924101451,-1.02561882203515,-0.78059905149854,-2.82451338584309,-1.05549252126044,-3.274046032331,-1.07860598897489,-0.142799503521952,-0.226752715944797,-1.50208966108495,-1.53034614894162,-1.07799297371111,-1.93667394664116,-2.13876817943412,-0.539953484643826,-1.01650171241847,-3.93799517811747,-1.27352819722215,-1.34626512306909,-0.46569359386931,-3.51670478007008,-0.891297469903825,-1.01934574597776,-3.38578156470792,-0.149621621551615,-2.03418731832235,-1.05312293763196,-3.30126871683174,-0.54680947341118,-2.79845486861353,-1.56277497009126,-0.812577916573995,-2.87741076349875,-1.92913675667232,-2.01391061407911,-3.24968731678403,-0.821575063035469,-1.83380314164814,-1.49227635788181,-1.48324395544467,-0.670184469198341,-2.54152757753049,-0.759089629101583,-2.09846082820889,-2.35711047643994,-1.18608791187737,-1.51126748426561,-1.88238987882922,-1.78278028883072,-3.61671684044695,-1.29535885724415,-4.34729552000568,-0.638086780238227,-2.40630916103619,-0.464416284139629,-2.12150677259868,-2.41971612203321,-1.35992551436911,-0.424463010296326,-0.434947880788038,-1.40669767446599,-0.77585529307717,-0.926455783573912,-0.263290691047664,-1.28738356833344,-1.91002223670185,-2.04931462325813,-0.997460746184568,-1.12913711520294,-0.674616509382988
"5",-0.0688520415365742,-0.772120248225307,-0.707419216128671,-2.76535178469015,-0.379336033122405,-0.861120406016077,-1.88092163512901,-0.184040430600676,-0.992599602787011,-0.422705037292192,-0.554777517059469,-0.607097352446941,-4.62430927267006,-1.02867285707375,-0.185527853393211,-3.0053157527656,-2.32250983789173,-2.21574719179874,-1.87287147459582,-0.754639054400094,-1.05212552068977,-3.38948564927552,-2.37248153796099,-0.673037202629204,-0.556538161861764,-0.627356941123692,-0.832741615427837,-1.75751995089499,-0.882175075558699,-1.2689628895926,-1.15746767423919,-0.965288570347884,-0.734681548780454,-2.65836534839536,-0.993404742666827,-3.08145490112345,-1.01515860522552,-0.134399720294996,-0.213414424986031,-1.41373134950823,-1.44032599117619,-1.01458143831535,-1.82275202794314,-2.01295859126474,-0.50819145120708,-0.956707505429932,-3.70634858654166,-1.19861475613929,-1.26707279739973,-0.438299840538364,-3.30983980133723,-0.838868078243427,-0.959384406486735,-3.18661807823512,-0.14082056684422,-1.91452912889928,-0.991174570543496,-3.10707661856641,-0.514644244570118,-2.63383963151343,-1.47084687455712,-0.764779251906107,-2.70815119119388,-1.81565812293561,-1.89544527319028,-3.05852926023993,-0.773247004996907,-1.72593236727937,-1.40449549355439,-1.3959942598144,-0.630761986747571,-2.39202598013261,-0.714437111597636,-1.97502191498628,-2.21845682328713,-1.11631784960264,-1.42236951315134,-1.7716610170256,-1.67791092738728,-3.40396868959013,-1.21916128187009,-4.09157234979723,-0.600552385884168,-2.26476152363401,-0.437097591720828,-1.99671239535653,-2.27737967581474,-1.27992989218575,-0.399494508065752,-0.409362892052971,-1.32395089245919,-0.730216815229412,-0.871958591273116,-0.247803016234229,-1.2116550234579,-1.7976678092078,-1.92876648001021,-0.938786523763063,-1.06271735071601,-0.634933460886479
"6",-0.0645489417952798,-0.72386266417272,-0.663205408375304,-2.59251735527004,-0.355627583503682,-0.807300337114866,-1.76336403055736,-0.172538014535396,-0.930562055009058,-0.396286100479213,-0.52010396535054,-0.569153847041327,-4.3352899138773,-0.964380807702752,-0.173932415863694,-2.81748337192222,-2.1773531188196,-2.0772629377268,-1.75581708738461,-0.707474109609563,-0.986367678365097,-3.17764272937285,-2.22420150810814,-0.630972291558404,-0.521754519187064,-0.58814700572469,-0.780695061059288,-1.64767499757798,-0.827039041631259,-1.18965265497458,-1.08512589841011,-0.90495794042865,-0.688764003114359,-2.49221740317754,-0.931316918916547,-2.88886402056136,-0.951711147424162,-0.125999714769881,-0.200075945507264,-1.32537306724349,-1.35030543921488,-0.951170245515128,-1.70883003359926,-1.88714863456577,-0.476429480654681,-0.896913286763724,-3.47470176303099,-1.12370141864536,-1.1878806223993,-0.410906118753652,-3.10297482831984,-0.786438805711566,-0.899422864928992,-2.987454446139,-0.132019385470584,-1.79487122083415,-0.929226202145,-2.9128842920893,-0.48247887522659,-2.46922466328278,-1.37891898230079,-0.716980523172565,-2.53889163508854,-1.70217944753454,-1.77698000899108,-2.86737119210875,-0.72491909027256,-1.6180616253544,-1.31671451561754,-1.3087445703587,-0.591339476137371,-2.24252428952148,-0.669784844449481,-1.85158304747133,-2.07980316712111,-1.04654797628322,-1.33347132759844,-1.66093221422452,-1.57304147979898,-3.19122069261394,-1.1429635168348,-3.8358490595259,-0.563017967950076,-2.12321379642292,-0.409779060508512,-1.87191782902862,-2.13504341499771,-1.19993423581709,-0.374526266417331,-0.383777629368562,-1.24120395137328,-0.684578189438756,-0.817461133524061,-0.232315323462485,-1.13592669554612,-1.6853135634422,-1.80821863621217,-0.880112346827375,-0.996297508299847,-0.595250084934035
"7",-0.0602457096880067,-0.675605064170698,-0.618991649422487,-2.41968296416474,-0.331919086849677,-0.753480305797054,-1.64580633454187,-0.16103547743504,-0.868524645365397,-0.369867084001771,-0.485430342696864,-0.531210282305882,-4.04627065315546,-0.900088862230433,-0.162336931873246,-2.62965114488666,-2.03219633229584,-1.9387788275269,-1.63876262761626,-0.660309264992001,-0.920610066733842,-2.96579979151729,-2.07592149311968,-0.58890744431712,-0.486971008300794,-0.548937217501045,-0.728648642019973,-1.5378299007282,-0.771903196124158,-1.11034239419034,-1.01278425868187,-0.844627283329444,-0.642846364930375,-2.32606949136145,-0.869229138975545,-2.69627300508617,-0.888263732705169,-0.117599829011788,-0.186737471204454,-1.23701491761987,-1.26028485767648,-0.887758999340478,-1.59490798526283,-1.76133874839332,-0.444667523956465,-0.837119039274896,-3.24305509524819,-1.04878816399915,-1.10868851125642,-0.383512360250011,-2.89610982091654,-0.734009411355301,-0.839461221708585,-2.78829080468736,-0.12321810911591,-1.67521322474725,-0.867277783413094,-2.71869205256973,-0.450313573854423,-2.30460972139603,-1.28699108388522,-0.669181841424566,-2.3696321750849,-1.58870084936235,-1.65851460368542,-2.67621298870914,-0.676591130373191,-1.51019089598916,-1.22893360192476,-1.22149486300705,-0.551916909201038,-2.09302276978607,-0.62513254281941,-1.72814404385504,-1.94114954169994,-0.97677816577023,-1.24457324941396,-1.55020343184322,-1.46817208541993,-2.97847265687955,-1.06676596501373,-3.58012582216591,-0.525483459892607,-1.98166619445895,-0.382460514647047,-1.7471231678261,-1.99270711004543,-1.11993854334306,-0.349557925775126,-0.358192501417912,-1.15845698415922,-0.638939668544632,-0.762963657222563,-0.216827593361269,-1.06019810837559,-1.57295934618952,-1.68767076488293,-0.821438264991007,-0.929877677246398,-0.555566610370316
"8",-0.0559423937784944,-0.627347653686111,-0.574778129469154,-2.24684822542271,-0.308210530461193,-0.699660010465136,-1.52824873460318,-0.149532946467289,-0.806487012194566,-0.343448101264483,-0.450756752334637,-0.49326677968659,-3.75725138584431,-0.835796713186262,-0.150741459268654,-2.44181893684754,-1.88703946225185,-1.80029434711528,-1.52170793352199,-0.613144343380814,-0.854851983286388,-2.75395724699521,-1.92764113997927,-0.546842672112674,-0.452187157309162,-0.509727163433279,-0.676602306774727,-1.42798519994845,-0.716766908252881,-1.0310321245573,-0.940442435392744,-0.784296886225732,-0.596928586666635,-2.1599218108458,-0.80714150530185,-2.50368232497794,-0.824816461758469,-0.109199788276252,-0.173399172725956,-1.14865681932835,-1.17026477269868,-0.824347506029913,-1.48098597351307,-1.63552862586944,-0.412905360274436,-0.777324728168796,-3.01140810317134,-0.973874505108598,-1.02949655544928,-0.35611862164058,-2.68924454533557,-0.681579940515185,-0.77950006380855,-2.58912685105064,-0.114416845185705,-1.55555526204528,-0.805329403300353,-2.52449977821535,-0.418148334804822,-2.13999470320509,-1.19506318879412,-0.621383450450794,-2.20037290743363,-1.47522200395778,-1.54004920029638,-2.4850551214423,-0.628263118750794,-1.4023200812886,-1.14115266998524,-1.13424520603289,-0.512494015807278,-1.94352093644502,-0.580480172625735,-1.60470520858705,-1.80249622917162,-0.907008375865159,-1.15567520694332,-1.43947474916951,-1.36330253739023,-2.76572479227488,-0.990568122248469,-3.32440243566083,-0.487948874399143,-1.84011846213852,-0.355142037578859,-1.62232896084015,-1.85037087771393,-1.03994308114813,-0.324589386539145,-0.332607271361329,-1.0757100505638,-0.59330096236558,-0.708466224056569,-0.201339902140846,-0.984469742754393,-1.4606052428495,-1.56712262225669,-0.76276413037824,-0.863457793880484,-0.515883339427827
"9",-0.0516390145407105,-0.579090055238322,-0.530564366850913,-2.07401375781949,-0.28450214520768,-0.64584027683616,-1.41069126790614,-0.138030363074231,-0.744449699983977,-0.31702883631174,-0.41608319099117,-0.45532314185822,-3.46823178369663,-0.771504554030171,-0.139145869383854,-2.25398674899267,-1.74188246322693,-1.66181030935856,-1.40465365843118,-0.565979330215503,-0.78909413516765,-2.54211419633014,-1.77936121824245,-0.504777929942671,-0.417403525643202,-0.470517447484625,-0.624556060799522,-1.31814003080766,-0.661631119093326,-0.951722212057397,-0.868100849117822,-0.723966368712306,-0.551011208826974,-1.99377401341034,-0.745053522549562,-2.31109119053785,-0.761369013340793,-0.100799800256248,-0.160060710897467,-1.06029835767771,-1.08024417688684,-0.760936165014518,-1.36706403793875,-1.50971891362265,-0.381143573032515,-0.717530551670201,-2.77976143286697,-0.898961170914832,-0.950304567903038,-0.328724897791351,-2.48237994734672,-0.629151013308616,-0.719538340975632,-2.38996354914567,-0.105615405756427,-1.43589706669022,-0.743381047172687,-2.33030742428398,-0.385983000618146,-1.97537970225428,-1.10313516601796,-0.573584427266579,-2.03111333400407,-1.3617435803424,-1.42158404853162,-2.2938970450042,-0.579935259836201,-1.29444940736822,-1.05337159944906,-1.04699557414144,-0.473071590388438,-1.79401937729002,-0.535827819787518,-1.48126633343545,-1.66384251266393,-0.837238470430423,-1.06677698911894,-1.32874565910504,-1.25843313462468,-2.55297662808884,-0.914370818372502,-3.0686791889331,-0.450414284308218,-1.69857084638717,-0.327823251019468,-1.49753433153815,-1.70803473539753,-0.959947410461015,-0.299620927075679,-0.307022096830305,-0.992963136121213,-0.54766268163715,-0.653968781603154,-0.185852351763858,-0.908741353854238,-1.3482508409259,-1.44657487488984,-0.704089952129228,-0.797038013770297,-0.476200127774957
"10",-0.047335760299664,-0.530832952511609,-0.486350509685647,-1.9011798730322,-0.260793264147681,-0.592019213285648,-1.29313404388729,-0.126528002153639,-0.682412228113759,-0.290609938965058,-0.381409233651923,-0.417379442903376,-3.17921287462538,-0.707212749021544,-0.127551212196675,-2.06615476988395,-1.59672589222345,-1.52332602194597,-1.28759943577027,-0.518814991842863,-0.723336740588981,-2.33027153282498,-1.63108090614812,-0.46271298185481,-0.382619809799348,-0.431307677851644,-0.572509566652757,-1.2082954672241,-0.606495495320914,-0.872411540369862,-0.795759003324176,-0.663635991368371,-0.50509372382031,-1.8276264820489,-0.682966106212002,-2.11850052424575,-0.697921254257702,-0.0923996930946002,-0.146721592376218,-0.971940084851846,-0.990223725194623,-0.697525021140763,-1.25314178626069,-1.38390922810969,-0.34938169471056,-0.657736310839709,-2.54811516726572,-0.824047820001958,-0.871112619046553,-0.301330257843611,-2.27551469448167,-0.576722029147065,-0.659576700967004,-2.19079996181383,-0.0968140888019761,-1.31623891573769,-0.681432007793048,-2.13611501088313,-0.353818269951212,-1.81076576848281,-1.01120668142989,-0.525785418833623,-1.86185397720405,-1.2482649828837,-1.30311823307038,-2.10273922472092,-0.531606890101827,-1.18657861927034,-0.965590641955475,-0.959746271171672,-0.433649059669896,-1.64451761963083,-0.491175272862873,-1.35782761677962,-1.52518922164404,-0.767468704441859,-0.977879369596486,-1.218017360943,-1.15356387471686,-2.34022852598582,-0.838173906209841,-2.81295501807772,-0.412879604231451,-1.55702301670095,-0.300504693073892,-1.37273977042168,-1.56569814980427,-0.879951886450886,-0.274652014109424,-0.281436449125594,-0.910216145310714,-0.502024294308597,-0.599471293123857,-0.170365577366805,-0.833012917342483,-1.23589624121113,-1.3260268060035,-0.645415309352402,-0.730618342398731,-0.436516586080351
